supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat
ukwala,1,1,90,100,10,cash,yes,no,no,no,no,no,no,09/06/2017,no,16:58:00,evening,chain,cbd,mid,Friday,weekday,no,9,6,2017,16,A,1,1,1
ukwala,1,2,330,1000,670,cash,no,no,no,yes,yes,no,no,09/06/2017,no,19:09:00,night,chain,cbd,mid,Friday,weekday,no,9,6,2017,19,A,1,1,1
ukwala,3,2,320,500,180,cash,no,yes,yes,no,no,no,no,09/06/2017,no,13:47:00,afternoon,chain,cbd,mid,Friday,weekday,no,9,6,2017,13,B,1,1,1
tuskys,2,1,107,150,43,cash,yes,no,no,no,no,no,no,09/06/2017,no,22:00:00,night,chain,cbd,mid,Friday,weekday,no,9,6,2017,22,A,1,1,1
ukwala,1,1,90,200,180,cash,yes,no,no,no,no,no,no,09/06/2017,no,18:58:00,evening,chain,cbd,mid,Friday,weekday,no,9,6,2017,18,A,1,1,1
ukwala,2,3,70,200,130,cash,no,yes,yes,no,yes,no,no,09/06/2017,no,14:17:00,afternoon,chain,cbd,mid,Friday,weekday,no,9,6,2017,14,A,1,1,1
ukwala,2,1,126,140,14,cash,yes,no,no,no,no,no,no,09/06/2017,no,19:04:00,night,chain,cbd,mid,Friday,weekday,no,9,6,2017,19,A,1,1,1
ukwala,1,1,90,200,180,cash,yes,no,no,no,no,no,no,09/06/2017,no,18:58:00,evening,chain,cbd,mid,Friday,weekday,no,9,6,2017,18,A,1,1,1
tuskys,4,3,315,315,0,cash,yes,no,no,yes,no,yes,no,09/06/2017,no,20:00:00,night,chain,cbd,mid,Friday,weekday,no,9,6,2017,20,B,1,1,1
ukwala,1,1,29,200,171,cash,no,no,no,yes,no,no,no,09/06/2017,no,14:34:00,afternoon,chain,cbd,mid,Friday,weekday,no,9,6,2017,14,A,1,1,1
ukwala,1,1,60,100,40,cash,yes,no,no,no,no,no,no,09/06/2017,no,19:23:00,night,chain,cbd,mid,Friday,weekday,no,9,6,2017,19,A,1,1,1
